Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri**Ma,nmo:hasMint^^uri**Mi,nmo:hasDenomination^^uri**De,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight**We,nmo:hasMinDiameter**DMi,nmo:hasMaxDiameter**DMa,nmo:hasDie^^blank**Di,Di__nmo:hasAxis,nmo:hasObverse^^blank**Ob,nmo:hasReverse^^blank**Re,Ob__rdfs:comment,Re__rdfs:comment,Ob__nmo:hasWear**WF,Re__nmo:hasWear**WB,Ob__nmo:hasCorrosion**CF,Re__nmo:hasCorrosion**CB,Ob__nmo:hasLegend
afe:26,gaz:2049603,nm:ae,nm:arelate,nm:siliqua,-/(・?)//,CAESAR,5.81,23.0,22.0,1,4.0,1,1,Kopf n. r. [   ]NVS-AV[.  ].,Bruchstück der Rev.(?)-Legende: ... SPMT ...,3.0,3.0,5.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:27,gaz:2049929,nm:billon,nm:laodiceia_ad_mare,nm:double-sestertius,-/-//ST,SE (Wertz 168.2),25.14,16.3,22.8,1,11.0,1,1,Kopf n. r.,P M TR P XIII] IMP VIII COS V P [P].,0.0,3.0,3.0,1.0,...CO - NS...
afe:28,gaz:2050078,nm:ae,nm:heracleia_thracica,nm:drachma,-/Kranz//SMAQS,?,4.61,21.8,18.3,1,4.0,1,1,Kopf m. L. n. re.| ANTONINVS PIVS AVG GERM,[IV]NONI R[EGINAE].,5.0,3.0,4.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:29,gaz:2426301,nm:av,nm:treveri,nm:ae2,-/-//T,SE (Wertz 168.2),2.55,17.3,22.0,1,8.0,1,1,Kopf r. belorbeert,PVD[ICITIA].,1.0,2.0,2.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:30,gaz:2044775,nm:billon,nm:siscia,nm:follis,?/-//.SIS.,SE (Wertz 168.2),2.3,14.9,21.86,1,1.0,1,1,[   ]ON III VSAVC FIVSPPTIIOY,sitz. Gestalt n. l. [    ]CO[SV...].,5.0,1.0,2.0,5.0,...CO - NS...
afe:31,gaz:2052958,nm:ar,nm:cyzicus,nm:semis,-/?//ALE,SE (Wertz 168.2),4.15,20.4,19.0,1,12.0,1,1,drapierte Büste.,HONOS.,0.0,4.0,5.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:32,gaz:2137454,nm:ae,nm:tripolis_phoenicia,nm:siliqua,-/-//PLG,SE (Wertz 168.2),2.46,18.2,35.0,1,7.0,1,1,Kopf n. r. m. Lrbkr.,weibl. Figur n. l. stehend,2.0,1.0,5.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:33,gaz:2052787,nm:ae,nm:mediolanum,nm:ae1,€(invers)/-//-,CAESAR,27.75,15.3,18.3,1,2.0,1,1,TR POT VIIII,Punkt am oberen Abschluss des Bogenornaments.,1.0,1.0,4.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:34,gaz:2044912,nm:billon,nm:caesaraugusta,nm:tetradrachm,M/-//A[ ]I[  ]*,Vs.: Kranz,26.14,21.16,21.49,1,6.0,1,1,Büste n. r. [. ]VAFAV[.  ],[  ]AXIME[  ].,2.0,0.0,3.0,3.0,...CO - NS...
afe:35,gaz:2048655,nm:av,nm:commagene,nm:ae2,-/(C invers)//-,?,1.43,21.0,21.16,1,7.0,1,1,etwa VN ZENO REN PAVFC,steh. weibl. Gestalt n. l.,0.0,4.0,2.0,1.0,...CO - NS...
afe:36,gaz:2138050,nm:ar,nm:londinium,nm:quarter-stater,-/-//MP,SE (Wertz 168.2),2.24,21.91,21.36,1,12.0,1,1,"A[ YT KAIC] deltaOMITIANOC CEBACTOC gammaEPM, Kopf n. r.","sitzende weibliche Figur, l. Füllhorn, Umschrift ... COS II.",5.0,5.0,4.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:37,gaz:2050022,nm:billon,nm:colonia_claudia_ara_agrippinensium,nm:ae2,sigma/-//-,Vs.: Kranz,23.24,18.1,21.59,1,1.0,1,1,Vs: behlmte Büste n. r. CONSTAN-TIN[   ]SMIIXA[ ]. Rs: Zwei Viktorien halten Schild über Altar. VIVTORI[   ]. Im Schilde ?OT/P?-,I [   ] IIII,1.0,0.0,4.0,2.0,...CO - NS...
afe:38,gaz:2117972,nm:billon,nm:narbo,nm:semis,-/A//TES,?,4.4,21.12,21.91,1,7.0,1,1,Kopf n. r. m. Lrbkr.,einfaches Füllhorn.,4.0,2.0,1.0,5.0,...CO - NS...
afe:39,gaz:2044884,nm:ar,nm:lycia,nm:ae3,-/-/COMOB,SE (Wertz 168.2),20.2,11.0,22.0,1,6.0,1,1,Kopf n. l. m. Lrbkr. IMDTRAIA[.  ]AVGGERDACPMTR.,"sitzende weibliche Figur, l. Füllhorn, Umschrift ... COS II.",2.0,3.0,3.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:40,gaz:2044338,nm:av,nm:tripolis_phoenicia,nm:drachma,-/-//[-]K(delta),?,4.53,17.9,21.55,1,5.0,1,1,L VERVS AVG ARM PARTH MAX.,Vs. und Rs. zeigen Kopf.,1.0,4.0,2.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:41,gaz:2315108,nm:billon,nm:alexandreia_egypt,nm:semis,*/-//-,Vs.: Kranz,1.88,15.1,21.31,1,5.0,1,1,"HADRIANVS-AVGVSTVS. Büste n. l. m. Lrbrkr., Drapierung an l. Schulter.",[  ]VGIIIIIIΛ.,5.0,1.0,4.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:42,gaz:2049900,nm:billon,nm:cyzicus,nm:tetradrachm,-/-/CONOB,SE (Wertz 168.2),2.62,18.2,16.0,1,6.0,1,1,Obv. in einem ^Klumpen^ eingebacken,"PONTIF MAXIM, Vespasian sitzend n. r. mit Szepter r. und Zweig l.",2.0,1.0,5.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:43,gaz:2049721,nm:av,nm:siscia,nm:siliqua,V__,?,4.66,21.25,19.0,1,4.0,1,1,ANTONINVS AVG PIVS P P TR P XV.,sitz. Gestalt n. l. [    ]CO[SV...].,1.0,5.0,1.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:44,gaz:2044341,nm:ar,nm:mogontiacum,nm:semis,-/-//ANT(Delta)*,?,2.39,22.11,20.4,1,7.0,1,1,Kopf n. r. m. Lrbkr. AD(spiegelverkehrt)NIVONI-UDDOVII?(speigelverkehrt)D(spiegelverkehrt).,(...) C (...)| sth. Gestalt n. l.,5.0,5.0,2.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:45,gaz:2049740,nm:av,nm:carthage,nm:tetradrachm,M/D//COM,Vs.: Kranz,22.36,22.0,18.6,1,1.0,1,1,HADRIANVS AVG COS III PPP,DIVO PIO.,3.0,5.0,3.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:46,gaz:2050243,nm:ae,nm:pella_macedon,nm:double-sestertius,?/-//TES,SE (Wertz 168.2),2.88,22.8,23.0,1,11.0,1,1,"Strack 160.[P. L. Strack, Untersuchungen zur römischen Reichsprägung des zweiten Jahrhunderts. Teil III. Die Reichsprägung zur Zeit des Antoninus Pius. (Stuttgart 1937).]","Vs. Kopf n. r. m. Lrbkr., AYT [...]KAIC NE? T?AIANOC CEB ?E?M. Rs. Zwei Lyren. [...] YPAT.B[...].",4.0,4.0,1.0,2.0,...CO - NS...
afe:47,gaz:2050007,nm:ae,nm:caesaraugusta,nm:sestertius,-/-//MP,Vs.: Kranz,12.45,18.0,21.25,1,2.0,1,1,Kopf n. r. [  ]ONIN[. ]AVGPIVSPP.,steh. weibl. Gestalt n. l.,2.0,1.0,3.0,3.0,...CO - NS...
afe:48,gaz:2044884,nm:billon,nm:siscia,nm:siliqua,-/-//XII,TIA_V,2.4,21.24,21.49,1,8.0,1,1,"CAESAR AVG F DOMITIANVS, Kopf r.",[  ]TR P COS[  ].,0.0,3.0,4.0,4.0,...CO - NS...
afe:49,gaz:2050242,nm:av,nm:pella_macedon,nm:quadrans,(? on A)/-/?SIS?,?,2.1,21.16,21.43,1,2.0,1,1,,"Auf dem AV der Münze befindet sich eine weibliche Büste, es kann sich daher um eine Prägung für Faustina I., Faustina II., Lucilla oder Crispina handeln.",4.0,5.0,2.0,5.0,...CO - NS...
afe:50,gaz:2052314,nm:billon,nm:tarraco,nm:siliqua,-/(・?)//,Vs.: Kranz,3.37,22.1,21.31,1,2.0,1,1,V.: [   ]RVS-P[   ].,"Minerva mit Helm, drapiert n. r., mit Wurfspieß und rundem Schild, zu den Füßen r. Eule, l. COS, r. IIII",1.0,3.0,3.0,1.0,...CO - NS...
afe:51,gaz:2048660,nm:av,nm:berytus,nm:aureus,*/-//COMOB,TIA_V,4.5,17.3,23.0,1,7.0,1,1,Kopf n. r. (m. Lrbkr.).,Nobilitas n. l.,5.0,1.0,2.0,5.0,...CO - NS...
afe:52,gaz:2044341,nm:ar,nm:caesaraugusta,nm:ae3,T/F//PLN,TIA_V,3.83,22.43,20.4,1,2.0,1,1,FAUSTINA AUGUSTA AUG PII F.,[P M TR] P COS II FEL AVG.,1.0,1.0,2.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:53,gaz:2050007,nm:ae,nm:siscia,nm:sestertius,-/(C invers)//-,Vs.: Kranz,10.25,22.05,21.12,1,12.0,1,1,DIVA FAV-[    ].,CONSECRATIO.,4.0,1.0,1.0,3.0,...CO - NS...
afe:54,gaz:2050006,nm:ae,nm:colonia_patricia,nm:tetradrachm,-/-//PLG,CAESAR,1.63,19.1,20.4,1,7.0,1,1,Buchstabe L,unkenntlich,0.0,5.0,4.0,1.0,...CO - NS...
afe:55,gaz:2044338,nm:ar,nm:cyzicus,nm:ae2,__IV,TIA_V,4.41,17.7,21.25,1,5.0,1,1,Bruchstück der Rev.(?)-Legende: ... SPMT ...,sitz. Gestalt n. l.,5.0,1.0,4.0,1.0,...CO - NS...
afe:56,gaz:2049603,nm:av,nm:heracleia_thracica,nm:ae2,A/-//-,CAESAR,4.54,18.3,23.0,1,8.0,1,1,IMP T AEL CAES [HADR ANTONINVS].,Stern mit acht Strahlen| CAEVS JVLIVS,1.0,3.0,2.0,3.0,...CO - NS...
afe:57,gaz:2044775,nm:billon,nm:thessalonica,nm:sestertius,-/-//ANT(Delta)*,SE (Wertz 168.2),18.23,23.9,22.8,1,4.0,1,1,FAVSTINA [AVGUSTA].,Nobilitas n. l.,0.0,4.0,5.0,2.0,...CO - NS...
afe:58,gaz:2052314,nm:ae,nm:colonia_claudia_ara_agrippinensium,nm:quinarius,-/-//SCON,?,14.62,21.49,28.84,1,6.0,1,1,Kopf r. mit Lorbeerkranz? Rev. in einem ^Klumpen^ eingebacken.,Legendenbruchstück ...IVS ... erkennbar,3.0,4.0,3.0,3.0,...CO - NS...
afe:59,gaz:2050006,nm:av,nm:rome,nm:quarter-stater,-/*//COMOB,CAESAR,6.65,14.9,22.11,1,8.0,1,1,Obv. in einem ^Klumpen^ eingebacken,CONG AVG VIIII COS IIII.,5.0,1.0,1.0,2.0,...CO - NS...
afe:60,gaz:2137454,nm:av,nm:caesaraugusta,nm:quarter-stater,R/M//COMOB,?,20.3,16.2,22.43,1,1.0,1,1,bärt. Kopf n. r.,Punkt über Lilie.,3.0,4.0,3.0,5.0,...CO - NS...
afe:61,gaz:2052958,nm:ar,nm:aquileia,nm:dupondius,-/-//COM,Vs.: Kranz,21.82,23.0,21.31,1,2.0,1,1,ANTONINVS AVG PIVS P P TR P XV.,PONT MAX...,5.0,4.0,3.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:62,gaz:2049601,nm:ar,nm:emerita,nm:follis,-/-//SMAL(Gamma),CAESAR,3.02,24.7,21.36,1,5.0,1,1,"Kopf r. belorbeert, Rev. in einem ^Klumpen^ eingebacken.",PONT MAX...,3.0,2.0,2.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:63,gaz:2044353,nm:ar,nm:caesaraugusta,nm:follis,-/-//(Gamma)SIS,Vs.: Kranz,6.61,17.2,18.6,1,1.0,1,1,[M] ANTONINVS AVG TR P XXIII.,MTAC COS III SAI AVG,2.0,4.0,4.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:64,gaz:2044338,nm:ar,nm:berytus,nm:quarter-stater,-/-//TRPZweig,TIA_V,2.06,21.13,21.25,1,12.0,1,1,TR POT VIIII,PVD[ICITIA].,5.0,5.0,5.0,1.0,...CO - NS...
afe:65,gaz:2044667,nm:ar,nm:rome,nm:siliqua,-/*//TRP,?,1.98,18.7,20.0,1,7.0,1,1,"HADRIANVS-AVGVSTVS. Büste n. l. m. Lrbrkr., Drapierung an l. Schulter.","COS V PP SPQR OPTIMO PRINC, Minerva sitzend",1.0,0.0,4.0,3.0,...CO - NS...
afe:66,gaz:2044782,nm:billon,nm:caesaraugusta,nm:reduced_siliqua,-/-//R(Zeichen)(Gamma),CAESAR,2.2,16.0,20.0,1,12.0,1,1,Vs. drap. Büste n. r. Pseudobuchstaben.,sitz. Gestalt n. l.,5.0,5.0,1.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:67,gaz:2049608,nm:ae,nm:ravenna,nm:aureus,P/-//-,CAESAR,12.45,20.5,22.0,1,11.0,1,1,Drapierung am Schulteransatz.,Variante = Ornament unter dem Eber auf der Rs.,2.0,0.0,3.0,5.0,...CO - NS...
afe:68,gaz:2049900,nm:ae,nm:ravenna,nm:double-sestertius,X,SE (Wertz 168.2),2.37,21.0,20.5,1,2.0,1,1,Kopf n. r. [  ]ONIN[. ]AVGPIVSPP.,Stern mit acht Strahlen| CAEVS JVLIVS,3.0,4.0,5.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:69,gaz:2050006,nm:ar,nm:aquileia,nm:follis,-/XI//-,Vs.: Kranz,22.39,19.0,23.0,1,7.0,1,1,"Kopf r. belorbeert, Rev. in einem ^Klumpen^ eingebacken.","Reiter n. l., davor vierspeichiges Rad",5.0,3.0,2.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:70,gaz:2048980,nm:billon,nm:lugdunum,nm:siliqua,T/F//PLN,?,6.78,20.0,21.49,1,12.0,1,1,Büste mit Ägis.,"Reiter n. l., davor vierspeichiges Rad",5.0,3.0,3.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:71,gaz:2315108,nm:av,nm:arelate,nm:miliarensis,-/-//MKV,SE (Wertz 168.2),2.47,19.6,21.4,1,12.0,1,1,TR POT VIIII,Rs. Victoria beschreibt Schild,1.0,4.0,5.0,4.0,...CO - NS...
afe:72,gaz:2044338,nm:billon,nm:rome,nm:as,-/-//QXXT,Vs.: Kranz,5.98,21.12,22.05,1,2.0,1,1,bärt. Kopf n. r. m. Strkr.,"Minerva n. l. m. Blitz u. Speer, r. am Boden Schild. IMPXVCOSXIIIICENSPPP. vgl. RIC 37.",3.0,4.0,2.0,1.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:73,gaz:2049858,nm:av,nm:tripolis_phoenicia,nm:quadrans,€(invers)/-//-,SE (Wertz 168.2),11.4,21.7,28.84,1,6.0,1,1,leicht aufgeplatzte Oberfläche,(...) C (...)| sth. Gestalt n. l.,0.0,4.0,2.0,2.0,...CO - NS...
afe:74,gaz:2044667,nm:ae,nm:cyzicus,nm:as,sigma/-//-,TIA_V,22.45,20.0,20.5,1,8.0,1,1,Büste n. r. mit Strkr.,"Fecunditas, drapiert, steht nach links zwischen zwei Kindern, die sich nach oben strecken, und hält zwei Säuglinge in ihren Armen. UITIOAVA[ ]VF(spiegelverkehrt)IIOC(spiegelverkehrt)IIX.",2.0,1.0,2.0,5.0,...CO - NS...
afe:75,gaz:2137454,nm:ae,nm:lugdunum,nm:quarter-stater,-/-//[-]K(delta),SE (Wertz 168.2),3.38,21.55,16.0,1,7.0,1,1,IMP T AEL CAES [HADR ANTONINVS].,VICTORIAAVG(G?)?,4.0,3.0,5.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:76,gaz:2050235,nm:ar,nm:londinium,nm:follis,-/-//(Halbkreis on Z on XXI),TIA_V,1.5,16.5,21.25,1,6.0,1,1,drapierte Büste.,"Minerva n. l. m. Blitz u. Speer, r. am Boden Schild. IMPXVCOSXIIIICENSPPP. vgl. RIC 37.",3.0,5.0,2.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:77,gaz:2044496,nm:ae,nm:aquileia,nm:quarter-stater,-/-//L€,?,10.19,28.1,20.0,1,4.0,1,1,DIVA FAVSTINA.,MTAC COS III SAI AVG,5.0,4.0,3.0,4.0,...CO - NS...
afe:78,gaz:2050030,nm:billon,nm:mogontiacum,nm:reduced_siliqua,S/F//RT,?,15.35,24.7,21.4,1,4.0,1,1,NERO CAESAR AVGVSTVS K. r.SALVS sitzt n. l.,Spes/Elpis steht m. Blume n. l. B im Felde rechts.,0.0,3.0,3.0,1.0,...CO - NS...
afe:79,gaz:2044884,nm:billon,nm:colonia_patricia,nm:stater,M/D//COMOB,Vs.: Kranz,8.24,16.2,21.24,1,2.0,1,1,Kopf r. belorbeert,[P M TR] P COS II FEL AVG.,4.0,1.0,5.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:80,gaz:2050243,nm:billon,nm:berytus,nm:as,(Z on L)/-//-,CAESAR,2.6,18.2,21.91,1,12.0,1,1,Büste der Faustina I. oder II. r.,Aequitas(?),0.0,1.0,5.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:81,gaz:2044496,nm:ar,nm:heracleia_thracica,nm:ae1,-/Kranz//SMAQS,SE (Wertz 168.2),3.02,17.6,21.24,1,1.0,1,1,"Auf dem AV der Münze befindet sich eine weibliche Büste, es kann sich daher um eine Prägung für Faustina I., Faustina II., Lucilla oder Crispina handeln.",Nobilitas n. l.,4.0,0.0,5.0,4.0,...CO - NS...
